Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),333.50,0.00,25782.10,,,,,,450.85,,545.08,564.45,767.29,245.41
Active Decode Throughput Per User (tokens/sec/user),86.90,0.00,11834.62,,,,,,117.02,,136.84,141.75,198.46,60.84
Active Prefill Throughput (tokens/sec),108.03,7.51,733.01,,,,,,107.53,,130.33,137.96,150.47,24.51
Active Prefill Throughput Per User (tokens/sec/user),8.70,5.49,115.09,,,,,,8.67,,10.29,10.75,11.85,1.66
Active Total Throughput (tokens/sec),441.17,78.80,802.58,,,,,,456.73,,507.66,517.91,547.28,59.80
Credit-to-Start Latency (ms),1.01,0.44,14.68,1335.35,0.59,0.62,0.65,0.70,0.89,1.19,1.33,1.46,3.44,0.62
Decode Duration (ms),2442.48,558.90,157657.83,3221626.31,747.92,1009.21,1186.41,1519.32,1985.45,2611.14,3475.86,4244.35,8326.69,4832.91
E2E Output Token Throughput (tokens/sec/user),19.70,5.96,99.26,25981.89,8.69,10.51,11.60,14.60,18.40,23.12,28.63,33.25,47.83,8.25
Effective Concurrency,15.93,0.00,16.00,,,,,,16.00,,16.00,16.00,16.00,0.84
Effective Decode Concurrency,3.55,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,0.57
Effective Decode Throughput (tokens/sec),333.30,0.00,25782.10,,,,,,450.53,,545.06,564.41,767.29,245.47
Effective Decode Throughput Per User (tokens/sec/user),86.85,0.00,11834.62,,,,,,117.00,,136.83,141.74,198.46,60.86
Effective Latency (CO-aware) (ms),11031.87,1107.46,165067.38,14551038.20,7626.97,8569.34,8928.74,9630.09,10591.78,11661.95,12990.36,14514.33,17094.63,5008.24
Effective Prefill Concurrency,12.38,0.00,16.00,,,,,,12.00,,13.00,13.00,14.00,0.98
Effective Prefill Throughput (tokens/sec),107.86,0.00,733.01,,,,,,107.51,,130.30,137.96,150.47,24.87
Effective Prefill Throughput Per User (tokens/sec/user),8.68,0.00,115.09,,,,,,8.66,,10.29,10.75,11.84,1.70
Effective Total Throughput (tokens/sec),441.17,0.00,802.58,,,,,,456.73,,507.66,517.91,547.28,59.81
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,52.95,18.00,3208.00,69837.00,21.00,24.00,27.00,34.00,43.00,56.00,74.00,91.00,175.76,98.28
HTTP Chunks Sent,1.00,1.00,1.00,1319.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.03,0.00,4.28,36.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.30
HTTP Connection Overhead (ms),0.03,0.00,4.28,36.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.30
HTTP Connection Reused (ratio),0.99,0.00,1.00,1303.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.11
HTTP Data Received (KB),14.39,5.44,811.87,18979.99,6.17,6.95,7.76,9.53,11.90,15.25,19.76,24.01,45.57,24.78
HTTP Data Sent (KB),0.43,0.26,1.02,564.19,0.28,0.31,0.33,0.36,0.41,0.48,0.55,0.61,0.72,0.10
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),11030.77,1105.69,165065.96,14549591.83,7625.51,8568.06,8927.41,9629.23,10586.63,11660.96,12989.51,14513.40,17093.46,5008.25
HTTP Receiving (ms),2456.35,558.89,157657.83,3239930.83,752.18,1024.22,1207.20,1540.30,2001.18,2617.22,3502.74,4251.78,8326.69,4831.88
HTTP Sending (ms),0.21,0.08,4.89,279.02,0.11,0.12,0.13,0.14,0.18,0.22,0.24,0.27,0.71,0.33
HTTP Total Time (ms),11030.80,1108.60,165065.96,14549628.71,7625.51,8568.06,8927.41,9629.23,10587.23,11660.96,12989.51,14513.40,17093.46,5008.21
HTTP Waiting (TTFB) (ms),8574.21,529.48,14376.37,11309381.99,6435.59,6949.23,7151.70,7652.16,8381.47,9276.13,10244.53,11212.93,13391.00,1463.12
Input Sequence Length (tokens),74.71,38.00,201.00,98545.00,42.00,47.00,51.00,58.00,71.00,86.00,105.00,118.10,140.00,21.75
Inter Chunk Latency (ms),46.73,0.00,398.10,3221626.31,0.00,23.81,32.06,33.68,35.03,36.66,43.08,248.26,263.24,51.14
Inter Token Latency (ms),10.51,6.19,17.74,13867.21,7.14,8.05,8.68,9.42,10.43,11.48,12.51,13.25,14.63,1.57
Output Sequence Length (tokens),231.87,80.00,16384.00,305837.00,89.00,104.00,116.80,149.00,191.00,251.50,326.00,393.20,696.66,474.85
Output Token Count (tokens),231.87,80.00,16384.00,305837.00,89.00,104.00,116.80,149.00,191.00,251.50,326.00,393.20,696.66,474.85
Output Token Throughput Per User (tokens/sec/user),97.28,56.36,161.49,128314.04,68.35,75.47,79.91,87.15,95.85,106.16,115.17,124.24,140.05,14.84
Prefill Throughput Per User (tokens/sec/user),9.28,3.34,146.16,12246.80,4.24,5.11,5.76,6.79,8.43,10.32,12.73,14.79,19.91,7.08
Request Latency (ms),11016.98,1105.86,165066.10,14531397.48,7599.40,8557.60,8911.89,9616.72,10580.21,11650.95,12980.01,14479.43,17093.56,5009.56
Time to First Output Token (ms),9766.99,864.83,68627.01,12872897.77,7052.45,7664.90,7950.96,8617.71,9477.92,10402.86,11709.47,13231.50,15170.94,2542.21
Time to First Token (ms),8574.50,532.97,14376.64,11309771.18,6436.27,6950.42,7151.93,7652.35,8381.79,9276.43,10244.74,11213.15,13391.32,1463.00
Time to Second Token (ms),54.93,0.24,283.51,72452.86,8.89,24.91,30.92,31.85,32.77,33.95,224.96,253.66,263.95,67.23
Tokens In Flight (tokens),3276.93,0.00,18173.38,,,,,,1765.68,,8941.73,13279.64,17102.67,3667.23
Usage Completion Tokens (tokens),231.87,80.00,16384.00,305837.00,89.00,104.00,116.80,149.00,191.00,251.50,326.00,393.20,696.66,474.85
Usage Prompt Tokens (tokens),74.71,38.00,201.00,98545.00,42.00,47.00,51.00,58.00,71.00,86.00,105.00,118.10,140.00,21.75
Usage Total Tokens (tokens),306.58,121.00,16523.00,404382.00,138.18,158.00,175.00,213.00,265.00,333.00,423.00,493.20,820.14,479.16

Metric,Value
Accuracy (Overall) (ratio),
Accuracy (gsm8k) (ratio),
Accuracy Unparsed (Overall) (ratio),
Accuracy Unparsed (gsm8k) (ratio),
Benchmark Duration (sec),913.61
Input Token Throughput (tokens/sec),107.86
Output Token Throughput (tokens/sec),334.75
Request Count,1319.00
Request Error Rate (%),0.00
Request Throughput (requests/sec),1.44
Total Input Sequence Length (tokens),98545.00
Total Output Sequence Length (tokens),305837.00
